edon,estado,edo,ptot2010,ptot2020,chg
1,Aguascalientes,ags,1184996,1425607,20.30%
2,Baja California,bc,3155070,3769020,19.46%
3,Baja California Sur,bcs,637026,798447,25.34%
4,Campeche,cam,822441,928363,12.88%
5,Coahuila,coa,2748391,3146771,14.50%
6,Colima,col,650555,731391,12.43%
7,Chiapas,cps,4796580,5543828,15.58%
8,Chihuahua,cua,3406465,3741869,9.85%
9,Ciudad de México,df,8851080,9209944,4.05%
10,Durango,dgo,1632934,1832650,12.23%
11,Guanajuato,gua,5486372,6166934,12.40%
12,Guerrero,gue,3388768,3540685,4.48%
13,Hidalgo,hgo,2665018,3082841,15.68%
14,Jalisco,jal,7350682,8348151,13.57%
15,México,mex,15175862,16992418,11.97%
16,Michoacán,mic,4351037,4748846,9.14%
17,Morelos,mor,1777227,1971520,10.93%
18,Nayarit,nay,1084979,1235456,13.87%
19,Nuevo León,nl,4653458,5784442,24.30%
20,Oaxaca,oax,3801962,4132148,8.68%
21,Puebla,pue,5779829,6583278,13.90%
22,Querétaro,que,1827937,2368467,29.57%
23,Quintana Roo,qui,1325578,1857985,40.16%
24,San Luis Potosí,san,2585518,2822255,9.16%
25,Sinaloa,sin,2767761,3026943,9.36%
26,Sonora,son,2662480,2944840,10.61%
27,Tabasco,tab,2238603,2402598,7.33%
28,Tamaulipas,tam,3268554,3527735,7.93%
29,Tlaxcala,tla,1169936,1342977,14.79%
30,Veracruz,ver,7643194,8062579,5.49%
31,Yucatán,yuc,1955577,2320898,18.68%
32,Zacatecas,zac,1490668,1622138,8.82%
33,Total,tot,112336538,126014024,12.18%
